section,container,subtitle,type,title,text
01. Combat Patrol Mission Sequence,Combat Patrol Mission Sequence,01.00,text,,"Welcome to Combat Patrol! Whether you are a new recruit to Warhammer 40,000 or a seasoned veteran, Combat Patrol is all about getting your forces into action as quickly as possible. | Combat Patrol is the quickest and simplest way to start collecting and playing Warhammer 40,000. In Combat Patrol battles, each player will command a compact army of Warhammer miniatures in tactical clashes that should last up to one hour. | Typically comprising the contents of a Combat Patrol box, every Combat Patrol force is a great starting point for any aspiring Warhammer 40,000 general. As well as being amazing tools for collecting, the models from each one can face off against each other in quick and exciting pickup games. There is no need to create an army list and add up points values; simply choose your favourite faction, assemble your miniatures and prepare for war. | Combat Patrol games are fast-paced and action-packed; victory is determined primarily through expert tactical play, but a healthy dose of good luck never hurts! Each Combat Patrol will have a set mission that it is trying to complete, rewarding its player with crucial Victory points. At the battle’s end, when the smoke has cleared, victory will go to the player who has scored the most of these. | As well as being the best way to play quick games of Warhammer 40,000, Combat Patrol is a great opportunity to try out different factions and familiarise yourself with the unique tactics and play styles of each one. Whichever you choose, you will soon learn your army’s strengths and weaknesses and gain the skills needed to claim victories on larger battlefields."
01. Combat Patrol Mission Sequence,Select Combat Patrols,01.01,text,,Each player selects one Combat Patrol to use.
01. Combat Patrol Mission Sequence,Determine Deployment,01.02,text,,"Roll one D6 and consult the table below to determine one of the deployment maps. This describes where to place terrain features, objectives and where you can deploy your armies. | D6 | Deployment Map | 1-2 | Layout A | 3-4 | Layout B | 5-6 | Layout C"
01. Combat Patrol Mission Sequence,Determine Deployment,01.02,header,,Layout A
01. Combat Patrol Mission Sequence,Determine Deployment,01.02,image,,-
01. Combat Patrol Mission Sequence,Determine Deployment,01.02,header,,Layout B
01. Combat Patrol Mission Sequence,Determine Deployment,01.02,image,,-
01. Combat Patrol Mission Sequence,Determine Deployment,01.02,header,,Layout C
01. Combat Patrol Mission Sequence,Determine Deployment,01.02,image,,-
01. Combat Patrol Mission Sequence,Create the Battlefield,01.03,text,,Missions are played on rectangular battlefields 44” by 30” in size. | Players should set up the terrain features as shown in the deployment map.
01. Combat Patrol Mission Sequence,Determine Attacker and Defender,01.04,text,,Players look at the deployment map and agree which edges of your battlefield correspond with the Attacker’s and Defender’s battlefield edges labelled on the map. | Roll off: the winner decides who will be the Attacker and who will be the Defender.
01. Combat Patrol Mission Sequence,Declare Battle Formations,01.05,text,,"Players secretly note down: | - Which of their units will start the battle embarked within which Transports. | - Which of their units will start the battle in strategic reserves. The combined number of such units cannot exceed more than half the number of units in that player’s Combat Patrol. | - Which of their leader units will start the battle attached to which bodyguard units (this is optional). | - Which one of their two available enhancements they will use. | Players then reveal these decisions. Each player's Warlord model is specified in their Combat Patrol. These models have the Warlord keyword. | Some Combat Patrols require certain units to be set up in strategic reserves, these still count towards the limit of how many units from a player’s army can be in strategic reserves."
01. Combat Patrol Mission Sequence,Deploy Armies,01.06,text,,"Players take it in turns to set up their units (excluding those in strategic reserves) one at a time, wholly within their deployment zone, starting with the Defender. Once you have finished setting up your units, if your opponent has any units that have not been set up, they set up those units."
01. Combat Patrol Mission Sequence,Determine First Turn,01.07,text,,Roll off: the winner takes the first turn.
01. Combat Patrol Mission Sequence,Resolve Pre-Battle Rules,01.08,text,,"Players alternate resolving any pre-battle rules units from their army may have, starting with the player who will take the first turn."
01. Combat Patrol Mission Sequence,Begin The Battle,01.09,text,,"The first battle round begins. Each player should look at their Combat Patrol’s mission to see what they need to do in order to score Victory Points. | Stratagems | Combat Patrol games reflect a battle between two small forces of troops. As such they lack access to some of the logistical support found in larger armies. When playing a Combat Patrol game, the following core stratagems cannot be used: | - Crushing Impact | - Explosives | - Rapid Ingress"
01. Combat Patrol Mission Sequence,End the Battle,01.10,text,,"The battle ends after five battle rounds have been completed. Even if you have no models remaining in your army at the start of your turn, players continue to play out their turns until the battle ends."
01. Combat Patrol Mission Sequence,Determine Victor,01.11,text,,"At the end of the battle, the player with the most VP is the victor. If the players are tied, the battle is a draw. Players will score VP from the following: | - Each player’s own Combat Patrol mission. | - Each player scores an additional 10VP if their army is painted to a Battle Ready standard. | If a player is new to the game and this is one of their first opportunities to get their Combat Patrol to the table, we recommend ignoring the 10VP awarded for painting to a Battle Ready standard. Though this should be applied at any Combat Patrol events."
01. Core Concepts,Core Concepts,01.00,text,,"Before you learn how to move your warriors across the battlefield and attack the enemy in deadly firefights and bloody close combat, this section introduces some core concepts that underpin every Warhammer 40,000 battle."
01. Core Concepts,Armies,01.01,text,,"Each player in a game of Warhammer 40,000 commands an army made up of units of models. You control all of the models in your army. If a rule refers to the ‘controlling player’, it is referring to the player who controls the models being affected by that rule."
01. Core Concepts,Armies,01.01,accordion,01.01.01 - You,"If a rule refers to ‘you’, it is referring to you the person, as the controlling player."
01. Core Concepts,Units and Models,01.02,text,,"A unit can contain one or more models. These models move and fight together as a single group. Most models have a base, which is also part of that model for all rules purposes. | Rules sometimes affect ‘friendly’ or ‘enemy’ models or units, which are defined as follows: | - Friendly units and models are those in your army. | - Enemy units and models are those in your opponent’s army. | If a rule affects units or models without specifying that they are friendly or enemy, that rule affects any unit or model, regardless of whose army they are in. When an effect or ability applies to a unit, it applies to every model in that unit."
01. Core Concepts,Units and Models,01.02,accordion,01.02.01 - Starting Strength and Half-Strength,"The number of models a unit contains at the start of the first battle round is its starting strength. The starting strength of an attached unit is the number of models that unit contains at the start of the first battle round. | Some rules refer to units being below starting strength, or at – or below – half‑strength. The meaning of these terms varies depending on a unit’s starting strength, as shown below. | STARTING STRENGTH OF 1 | STARTING STRENGTH OF 2 OR MORE | BELOW STARTING STRENGTH | Model's remaining wounds are less than its W characteristic. | Number of remaining models in the unit is less than its starting strength. | AT HALF-STRENGTH | Model's remaining wounds are half of its W characteristic. | Number of remaining models in the unit is half of its starting strength. | BELOW HALF-STRENGTH | Model's remaining wounds are less than half of its W characteristic. | Number of remaining models in the unit is less than half of its starting strength. | Example: A Captain (1 model) is attached to a unit of Intercessors (5 models). This attached unit has a starting strength of 6. If three Intercessors were destroyed, the unit would be at half‑strength. If four Intercessors were destroyed, the unit would be below half‑strength. If all of the Intercessors were destroyed, the remaining Captain would be below half‑strength, despite having his full wounds remaining."
01. Core Concepts,Units and Models,01.02,accordion,01.02.02 - Persisting Rules Effects,"Some rules apply an effect that lasts until a certain duration has passed (e.g. until the start of your next turn). Such effects are known as persisting effects. | If a persisting effect applies to a unit when you place it in strategic reserves or when it embarks within a TRANSPORT, make a note of that effect and its duration; if that unit is set up on the battlefield again, any persisting effects continue to apply to that unit for their full duration. | If you have a rule that specifies when it is triggered (e.g. 'In the Shooting phase') and it does not specify how long it is active for, it is only active for the duration of that specified period (e.g. until the end of that Shooting phase). After that period, that effect is no longer applicable/active. | If a rule or effect is given to a unit and it does not specify how long it is active for, it is only active for the phase in which it was given."
01. Core Concepts,Units and Models,01.02,accordion,01.02.03 - Revived and Adding Models to a Unit,"When a rule revives, resurrects, returns or adds models to a unit, the specified number of models are added to the unit. | - If a rule revives, resurrects or returns models to a unit, it does so through destroyed models from that unit. | - This cannot expand a unit beyond its starting strength. | - Unless otherwise stated, such models are added with all wargear and enhancements they started the battle with, and with their full W remaining. | Models returned to a unit on the battlefield must be set up as follows: | - They must be set up in coherency with models in that unit that started that phase on the battlefield. | - They can be set up engaged with one or more enemy units, but only if those enemy units were already engaged with the unit that model is being returned to. | If a leader or support model in an attached unit is destroyed and subsequently revived, they are still part of that attached unit and they must be returned to it if possible."
01. Core Concepts,Units and Models,01.02,accordion,01.02.04 - Not On The Battlefield,"A unit that is embarked within a TRANSPORT or that is in strategic reserves is not on the battlefield. The following applies to such units: | - That unit is not visible to any other units (units are visible to themselves). | - Any other unit is not visible to that unit. | - Players cannot measure distances to or from that unit (units are within range of their own abilities). | This means units not on the battlefield cannot be selected or targeted by any attack or rule that requires a unit to be visibleor within a certain distance (other than their own abilities). | Such units can still use their other rules, and are still units in the controlling player's army and so can be affected by rules that require a player to select a unit from an army, as well as rules that affect all units in an army. | The controlling player must make battle-shock rolls for units that are not on the battlefield in their Command phase if they are battle-shocked, or if they are at or below half-strength."
01. Core Concepts,Units and Models,01.02,accordion,01.02.05 - Other Model / Unit,"When a rule refers to models or units ‘other’ than the one with that rule (or one already mentioned by that rule), it means a different model or unit to that original one. | Different instances of the same datasheet are still considered to be ‘other’ units."
01. Core Concepts,Units and Models,01.02,accordion,01.02.06 - Splitting Units,"Some rules allow you to split units into smaller units (e.g. the Transport ability of Drukhari Venoms). When using such rules: | - The same models can only be subdivided in this way once (e.g. those smaller units cannot themselves be split further). | - If a rule is used to split a unit into multiple units before the battle, the starting strength of each individual unit is changed to be equal to the number of models in that unit."
01. Core Concepts,Units and Models,01.02,accordion,01.02.07 - Describing Units,"When a rule mentions a unit, it may have a descriptor for the unit (e.g. Terminator unit, hidden unit, battle-shocked unit, visible unit, controlling unit). For such descriptors to apply to a unit, that unit must have at least one model in that unit that meets that descriptor. | This does not give that rule to every model in the unit, unless that rule specifically states that it gives that rule to the unit, in which case every model in that unit gains that rule, as described in Units and Models (01.02). | Example: A hidden unit would be a unit that has a model in it that is hidden."
01. Core Concepts,Units and Models,01.02,accordion,01.02.08 - A (Unit/Model/Object),"Some rules may refer to 'a' unit/model/object without specifying an exact number. In such cases, the meaning is 'one or more', rather than exactly one. | Example: If a rule has a condition that requires a unit to be 'within range of an objective', that condition is still met if that unit is within range of more than one objective."
01. Core Concepts,Units and Models,01.02,accordion,01.02.09 - Tokens,"Tokens are gaming aids that some rules instruct you to place next to model/unit to remind you and your opponent that a model/unit either has a limited-use ability or is under the effects of a particular rule. Tokens are not counted as models for any purposes (even if they are being represented by a model). If another model needs to move into the space occupied by a token, reposition the token to allow that move to be made."
01. Core Concepts,Units and Models,01.02,accordion,01.02.10 - Adding a new unit to your army,"Some rules add a new unit to your army during a battle. That unit’s starting strength is determined when it is added to your army, but is otherwise determined in the same way as for other units."
01. Core Concepts,Units and Models,01.02,accordion,01.02.11 - All Types of Model,"When a rule mentions ‘all types of model’, this is inclusive of friendly and enemy models and all keywords, e.g. MONSTER/VEHICLE models."
01. Core Concepts,Active Player and Opposing Player,01.03,text,,"At any given time, one player is the ‘active player’ and their opponent is the ‘opposing player’. Which player is which changes throughout the battle, but both players are always one or the other; whenever a player becomes the active player, their opponent becomes the opposing player, and vice versa. | While it is neither player’s turn (e.g. at the start or end of the battle round), the player who takes the first turn in each battle round is the active player. | While it is a player’s turn, that player is the active player, with the following exceptions: | - Each time a unit is selected to move, that unit’s controlling player is the active player until that move ends. | - Each time a unit is selected to shoot or selected to fight, that unit’s controlling player is the active player until those attacks are resolved."
01. Core Concepts,Active Player and Opposing Player,01.03,accordion,01.03.01 - Player's Rules,"During the game, players will sometimes need to know which rules are theirs, as opposed to their opponent’s. The following are considered a player’s rules: | - Any army rules they have. | - Any detachments in their army. | - Any stratagems they use. | - Any enhancements that units or models in their army have. | - Any abilities or rules found on their units’ datasheets. | - Rules that have restrictions (e.g. 'Once per battle/turn/phase') only apply to the player whose rule it is. | Some missions may introduce additional rules that take effect in the battle. Where this is the case: | - If the rule is used by a player, it is treated as one of that player’s rules. | - If it is not used by a player, and always takes effect, such a rule is resolved before any of the active player’s rules, in an order of their choosing."
01. Core Concepts,Active Player and Opposing Player,01.03,accordion,01.03.02 - Rules Sequencing,"At any point in the game, the players will have rules that they can or must use, which may occur at the same time another player can or must use a rule. Unless otherwise stated, these are activated in the following order: | 1. All of the active player’s rules that must be used, in an order of their choosing. | 2. All of the active player’s rules that they can optionally use and wish to use, in an order of their choosing. | 3. All of the opposing player’s rules that must be used, in an order of their choosing. | 4. All of the opposing player’s rules that they can optionally use and wish to use, in an order of their choosing. | If another rule could be used after a rule has resolved during this sequence but before other rules in that same timing have resolved, those new rules do not trigger until all the remaining rules to be resolved in that same timing have been resolved. | Example: The active player's unit has an ability enabling it to make a normal move after it has shot. An enemy unit targeted by that unit has an ability enabling it to shoot back at a unit that shot at it. The active player's rule is resolved first, followed by the opposing player's rule."
01. Core Concepts,Measuring Distances,01.04,text,,"Distances in Warhammer 40,000 are measured in inches (""). You can measure distances whenever you want to. | When a rule refers to a model’s position in relation to anything else on the battlefield, unless otherwise stated, measure to or from the closest part of that model’s base."
01. Core Concepts,Measuring Distances,01.04,accordion,01.04.01 - Within / Wholly Within,"Rules in Warhammer 40,000 will often apply to models or units that are within or wholly within a certain distance. The following definitions explain what these terms mean: | - Within: If a rule says it applies ‘within’ a specified distance, it applies at any distance that is not more than that distance. For example, within 1"" means any distance that is not more than 1"" away | - Model/Unit Within: A model is within a specified distance if any part of its base is within that distance. A unit is within a specified distance if one or more of its models are within that distance. | - Model/Unit Wholly Within: A model is wholly within a specified distance if every part of its base is within that distance. A unit is wholly within if every model in that unit is wholly within the specified distance. A model with the frame keyword is wholly within a specified distance if all parts of that model are within the specified distance. | Example: A model is wholly within a terrain area if no part of its base extends beyond the footprint of that terrain area. A unit is wholly within a specified distance if every model in that unit is wholly within that distance."
01. Core Concepts,Measuring Distances,01.04,accordion,01.04.02 - Closest Or Nearest Model/Unit,"When a rule refers to the closest or nearest model or unit, this is the closest model or unit to the model or unit using that rule. | If two or more are equally close, the controlling player of the model or unit using that rule selects which is the closest for the purposes of that rule."
