Model,Release Date
Blood Claws,2009-10
Grey Hunters,2009-10
Wolf Guard,2009-10
Wolf Guard Terminators,2009-10
Fenrisian Wolves,2012-03
Thunderwolf Cavalry,2012-03
Wolf Lord Krom,2014-05
Stormfang Gunship,2014-07
Stormwolf,2014-07
Bjorn the Fell-Handed,2014-08
Murderfang,2014-08
Space Wolves Venerable Dreadnought,2014-08
Iron Priest,2016-02
Ulrik the Slayer,2016-02
Wulfen,2016-02
Battle Leader,2018-08
Ragnar Blackmane,2020-03
Arjac Rockfist,2025-01
Blood Claws,2025-01
Grey Hunters,2025-01
Njal Stormcaller,2025-01
Wolf Guard Battle Leader,2025-01
Wolf Guard Terminators,2025-01
Wolf Priest,2025-01
Wolf Scout Team,2025-01
