Model,Release Date
Scout Sentinel,2009-05
Leman Russ,2010-06
Patriarch,2016
Primus,2016
Acolyte Hybrids,2016-10
Acolyte Iconward,2016-10
Brood Brothers,2016-10
Broodcoven,2016-10
Goliath Rockgrinder,2016-10
Goliath Truck,2016-10
Hybrid Metamorphs,2016-10
Neophyte Hybrids,2016-10
Aberrants,2018-08
Abominant,2018-08
Kelermorph,2019-01
Achilles Ridgerunner,2019-02
Atalan Jackals,2019-02
Biophagus,2019-02
Clamavus,2019-02
Jackal Alphus,2019-02
Locus,2019-02
Magus,2019-02
Nexos,2019-02
Sanctus,2019-02
Reductus Saboteur,2021-12
Biosigns Terminated,2025-01
First of the Faithful,2025-01
