errata_header,errata_text,question,answer,applies_to
,,"I have a rule that triggers when a mortal wound is allocated to a model, when does this happen?",When you select a model in the Select Model step of Mortal Wounds (06.02).,
,,Does my model or unit become engaged while moving through a enemy units engagement range during a move?,No,
,,"If my unit has weapons that are identical in characteristics, but some of those weapons have [PRECISION] and those weapons targeted a unit without the character keyword, do I roll all of those weapons together?","Yes, the [PRECISION] ability is not an applicable ability for those attacks as there is no CHARACTER in the target unit for the ability to trigger its rule.",
,,"If a rule says a unit can embark into a Transport in a turn that unit disembarked, does this ignore the core rules restriction on embarking in a turn that unit made a set up move (see 18.02)?",Yes,
,,"When a rule instructs you to perform a charge outside of the charge phase, do I resolve step 2 and 3 of the Charge step(11.02)?",Yes,
,,If a rule modifies how far a unit or model can move during a pile-in move or consolidation move does it also change the distance of the target units?,No,
,,How many mortals do you take from Hazardous tests for a combined vehicle/monster and Infantry unit,The roll would be all at once and it would be 1 MW per fail,
,,"My rule says that ""this units ranged attacks have +1 A"", do each of my attacks get an extra attack dice?","No, it increases the A characteristics of the unit's ranged weapons by 1.",
,,"If a rule allows my unit to pile-in or consolidate an extra distance in the Fight phase, when can I use that rule?","For pile-in moves, during the Pile-in step(12.02), and for consolidation moves, during the Consolidate step(12.07) of the Fight phase.",
,,Can I select a unit to shoot or fight if it doesn't have melee or ranged weapons?,"Yes, it just makes no attacks and then the fight type or shoot type is resolved.",
,,When checking coherency for my unit can my unit be in multiple groups?,"No, it must be in a single contiguous group as per Units and Models (01.02) and What is Coherency in the core rules.",
,,"When a move says that a model or unit must move in a way if it is able, can that requirement force the unit to end their move not in coherency?","No, when a model or unit is making a move it must follow requirements while ending that move in coherency",
,,If the [ANTI] ability on my unit is ANTI-non-Monster/Vehicle does it mean the [ANTI] rule triggers when targeting units that do not have the Monster or Vehicle keyword?,"Yes, ANTI-non-(any keyword) will trigger on any unit that does not have the specified keyword.",
,,If a unit becomes battle-shocked after starting an action does it stop performing that action?,Yes,
,,Aerialists ability allows you to get into a transport even though they disembarked a transport this turn?,"Yes, as the unit embarking is not making a normal, advance or fall-back move as part of this embarkation.",
,,"The Munitorium Field Manual shows my unit can attach to different units then are on it's datasheet, which do I use?",Use the Munitorium Field Manual.,
,,"I failed hazard rolls from [Hazardous] weapons, do those mortal wounds have to be allocated to the models with the [Hazardous] weapons?","No, you allocate the mortal wounds to the unit as per Mortal Wounds(06.02). (This represents Bob the guardsmen picking up his fallen squad mates plasma gun or that the twisting power of James the Chaos Sorcerer pulling his followers into the warp.)",
,,Can a model be within range of a weapon if it is not visible,Yes,
