Model,Release Date
Terminator Squad,2005-04
Terminator Close Combat Squad,2005-11
Scouts,2005-12
Scouts with Sniper Rifles,2006-06
Vindicator,2007-12
Drop Pod,2008-10
Land Raider Crusader,2008-10
Land Raider Redeemer,2008-10
Scout Bike,2008-10
Ironclad Dreadnought,2009-07
Land Speeder Storm,2009-07
Venerable Dreadnought,2010-03
Stormraven Gunship,2011-02
Stormtalon Gunship,2012-06
Deathwing Command Squad,2013-01
Deathwing Knights,2013-01
Deathwing Terminator Squad,2013-01
Centurion Assault Squad,2013-09
Centurion Devastator Squad,2013-09
Hunter,2013-09
Librarian,2013-09
Space Marine Captain,2013-09
Space Marines Chaplain,2013-09
Stalker,2013-09
Sternguard Veteran Squad,2013-09
Tactical Squad,2013-09
Vanguard Veteran Squad,2013-09
Logan Grimnar on Stormrider,2014-08
Assault Squad,2015-05
Devastator Squad,2015-06
Librarian in Terminator Armour,2015-06
Cataphractii Terminators,2015-11
Contemptor Dreadnought,2015-11
Mark IV Space Marines,2015-11
Space Marine Heroes (2),2015-11
Command Squad,2016-04
Company Command,2016-04
Space Marine Heroes (3),2016-04
Stormhawk Interceptor,2016-04
Mark III Space Marines,2017-03
Tartaros Terminators,2017-03
Hellblaster Squad,2017-06
Inceptor Squad,2017-06
Intercessor Squads,2017-06
Primaris Ancient,2017-06
Primaris Captain in Gravis Armour,2017-06
Primaris Lieutenant 1,2017-06
Primaris Lieutenant 2,2017-06
Easy To Build: Primaris Intercessors,2017-07
Easy To Build: Primaris Reivers,2017-07
Primaris Captain,2017-07
Primaris Librarian,2017-07
Primaris Aggressors,2017-08
Primaris Apothecary,2017-08
Primaris Chaplain,2017-08
Primaris Hellblasters,2017-08
Primaris Inceptors,2017-08
Primaris Intercessors,2017-08
Primaris Reivers,2017-08
Primaris Repulsor,2017-08
Redemptor Dreadnought,2017-08
Easy To Build: Primaris Aggressors,2017-12
Easy To Build: Redemptor Dreadnought,2017-12
Primaris Lieutenant with Power Sword,2018-10
Primaris Repulsor Executioner,2019-07
Primaris Captain in Phobos armour,2019-08
Primaris Invictor Tactical Warsuit,2019-08
Primaris Librarian in Phobos Armour,2019-08
Primaris Impulsor,2019-10
Primaris Incursors,2019-10
Primaris Infiltrators,2019-10
Assault Intercessor Squad,2020-07
Bladeguard Ancient,2020-07
Bladeguard Veterans,2020-07
Eradicators,2020-07
Judiciar,2020-07
Outriders,2020-07
Primaris Captain - Sword & Shield,2020-07
Primaris Chaplain,2020-07
Primaris Lieutenant - Gun & Shield,2020-07
Firestrike Servo-turret,2020-10
Hammerfall Bunker,2020-10
Invader ATV,2020-10
Primaris Chaplain on Bike,2020-10
Primaris Techmarine,2020-10
Gladiator Lancer,2020-12
Gladiator Reaper,2020-12
Gladiator Valiant,2020-12
Primaris Eradicators,2021-02
Storm Speeder Hailstrike,2021-02
Storm Speeder Hammerstrike,2021-02
Storm Speeder Thunderstrike,2021-02
Heavy Intercessor Squad,2021-03
Primaris Captain with Master-Crafted Heavy Bolt Rifle,2021-03
Primaris Company Champion,2022
Brutalis Dreadnought,2023
Lieutenant Titus,2023
Lion El'Jonson,2023-04
Apothecary Biologis,2023-06
Ballistus Dreadnought,2023-06
Captain in Terminator Armour,2023-06
Infernus Squad,2023-06
Librarian in Terminator Armour,2023-06
Lieutenant in Phobos Armour,2023-06
Lieutenant with Phobos Armour,2023-06
Sternguard Veteran Squad,2023-06
Terminator Squad,2023-06
Desolation Squad,2023-09
Captain with Jump Pack,2023-10
Chaplain in Terminator Armour,2023-10
Company Heroes,2023-10
Jump Pack Intercessors,2023-10
Scouts,2024-01
"Asmodai, Master of Repentance",2024-02
"Azrael, Supreme Grand Master",2024-02
"Belial, Grand Master of the Deathwing",2024-02
Deathwing Knights,2024-02
Deathwing Terminators,2024-02
Inner Circle Companions,2024-02
Infernus Sergeant,2024-08
Captain in Terminator Armour,2024-09
Aethon Shaan,2025-01
Ancient in Terminator Armour,2025-01
Assault Terminators,2025-01
Caanok Var,2025-01
Captain Centos,2025-01
Captain with Jump Pack,2025-01
Cato Sicarius,2025-01
Crusade Ancient,2025-01
Darnath Lysander,2025-01
Drop Pod,2025-01
Execrator,2025-01
Ferren Areios,2025-01
Marneus Calgar in Terminator Armour,2025-01
Space Marine Captain,2025-01
Suboden Khan,2025-01
Victrix Honour Guard,2025-01
Vulkan He'stan,2025-01
Logan Grimnar,2025-07
Captain Demetrian Titus,2026
Ancient,2026-01
Captain,2026-01
Chaplain with Jump Pack,2026-01
Eradicators,2026-01
Falchion,2026-01
Intercessors,2026-01
Land Speeder,2026-01
Librarian,2026-01
Spartan Prometheus Assault Tank,2026-01
Vanguard Veterans,2026-01
